rank_key,metro
1,"Boulder, Colorado"
2,"Santa Cruz, California"
2,"Watsonville, California"
3,"Charlottesville, Virginia"
4,"Fort Collins, Colorado"
5,"San Luis Obispo, California"
6,"San Jose, California"
7,"Provo, Utah"
8,"Bridgeport, Connecticut"
8,"Stamford, Connecticut"
8,"Norwalk, Connecticut"
9,"Barnstable Town, Massachusetts"
10,"Anchorage, Alaska"
11,"Naples, Florida"
11,"Immokalee, Florida"
11,"Marco Island, Florida"
12,"Santa Maria, California"
12,"Santa Barbara, California"
13,"Salina, California"
14,"North Port, Florida"
14,"Sarasota, Florida"
14,"Bradenton, Florida"
15,"Honolulu, Hawaii"
16,"Ann Arbor, Michigan"
17,"San Francisco, California"
17,"Oakland, California"
17,"Hayward, California"
18,"Colorado Springs, Colorado"
19,"Manchester, New Hampshire"
19,"Nashua, New Hampshire"
20,"Oxnard, California"
20,"Thousand Oaks, California"
20,"Ventura, California"
21,"Washington, District of Columbia"
21,"Arlington, Virginia"
21,"Alexandria, Virginia"
22,"Minneapolis, Minnesota"
22,"Saint Paul, Minnesota"
22,"Bloomington, Wisconsin"
23,"San Diego, California"
23,"Carlsbad, California"
24,"Portland, Maine"
25,"Austin, Texas"
