City,State,Walk Score,Transit Score,Bike Score,Population
New York,NY,89.2,85.3,67.7,8175133
Los Angeles,CA,67.4,51.5,55.1,3792621
Chicago,IL,77.8,65,71.5,2695598
Houston,TX,48.7,36.8,47.9,2099451
Philadelphia,PA,79,66.8,65.6,1526006
Phoenix,AZ,40.8,36,52.4,1445632
San Antonio,TX,37.6,36.1,41.9,1327407
San Diego,CA,50.9,37,39.4,1307402
Dallas,TX,46.2,39.7,46.4,1197816
San Jose,CA,50.5,41.3,59.3,945942
Jacksonville,FL,26.8,22.4,40.4,821784
Indianapolis,IN,29.8,23.3,42.4,820445
San Francisco,CA,86,80.4,70.7,805235
Austin,TX,40.3,33.5,51.2,790390
Columbus,OH,40.7,31,46.9,787033
Fort Worth,TX,34.4,20.1,36.3,741206
Charlotte,NC,25.9,27.5,30.4,731424
Detroit,MI,55.4,38.1,51.5,713777
El Paso,TX,41.5,30.9,39.2,649121
Memphis,TN,36.8,,37.9,646889
Baltimore,MD,69.4,57.2,52.1,620961
Boston,MA,80.9,72.6,69,617594
Seattle,WA,73.1,59.6,70,608660
Washington D.C.,DC,77.3,68.5,66.9,601723
Nashville-Davidson,TN,28.3,24.3,25.4,601222
Denver,CO,60.5,47.8,71.3,600158
Louisville-Jefferson,KY,33.3,28.5,39.7,597337
Milwaukee,WI,62.1,48.5,54.4,594833
Portland,OR,64.7,51.4,81.2,583776
Las Vegas,NV,41.1,33.6,43.9,583756
Oklahoma City,OK,33.1,16.1,39.5,579999
Albuquerque,NM,42.7,29.9,60.4,545852
Tucson,AZ,42.4,34.2,63.7,520116
Fresno,CA,46.3,31.3,56.6,494665
Sacramento,CA,47.1,33.7,65.9,466488
Long Beach,CA,69.9,51.4,61.5,462257
Kansas City,MO,34.2,28.9,31.8,459787
Mesa,AZ,37.3,27.1,57.2,439041
Virginia Beach,VA,32.9,19.7,41.3,437994
Atlanta,GA,49.2,46,41.4,420003
Colorado Springs,CO,35.5,18.7,41.7,416427
Omaha,NE,45.1,,39.7,408958
Raleigh,NC,30.1,28.9,37.4,403892
Miami,FL,79.2,57.2,63,399457
Cleveland,OH,59.5,47.1,50.3,396815
Tulsa,OK,39.5,22.7,44.4,391906
Oakland,CA,72,56.3,64.5,390724
Minneapolis,MN,69.2,57.6,81.9,382578
Wichita,KS,35,19.7,43.1,382368
Arlington,TX,37.4,0.3,36.6,365438
Bakersfield,CA,37.4,27.4,41.4,347483
New Orleans,LA,57.6,44.2,63.8,343829
Honolulu,HI,63.7,57.2,49.2,337256
Anaheim,CA,54.5,37.1,49.2,336265
Tampa,FL,50,31.5,54.5,335709
Aurora,CO,42.6,38.5,53.2,325078
Santa Ana,CA,66.1,45.5,57.7,324528
St. Louis,MO,64.5,45.2,53,319294
Pittsburgh,PA,61.9,54.4,51.5,305704
Corpus Christi,TX,40.6,29.1,41.1,305215
Riverside,CA,41.3,32.6,44.7,303871
Cincinnati,OH,50.4,43.6,35,296943
Lexington-Fayette,KY,34.2,25.3,40.9,295803
Anchorage,AK,32,21.1,,291826
Stockton,CA,41.8,28.2,50.8,291707
Toledo,OH,45.9,,45.1,287208
St. Paul,MN,58.9,47.4,63.3,285068
Newark,NJ,80.4,65.2,49.8,277140
Greensboro,NC,29.1,,30.4,269666
Buffalo,NY,67.8,49.5,58.6,261310
Plano,TX,38.9,17,47.8,259841
Lincoln,NE,42.7,24.1,58.5,258379
Henderson,NV,29.6,23.8,36.9,257729
Fort Wayne,IN,29.5,21.7,39.9,253691
Jersey City,NJ,87.3,70.6,54.4,247597
St. Petersburg,FL,43.4,34.3,56.9,244769
Chula Vista,CA,42.3,35.3,36.1,243916
Norfolk,VA,45.4,35.8,45.3,242803
Orlando,FL,42.1,32.7,54.8,238300
Chandler,AZ,34.6,24.3,52.7,236123
Laredo,TX,41.3,,39.6,236091
Madison,WI,48.7,38.4,62.7,233209
Winston-Salem,NC,23,,23,229617
Lubbock,TX,38,22,42.8,229573
Baton Rouge,LA,40.6,,43.3,229493
Durham,NC,29.1,29.4,36.1,228330
Garland,TX,39.4,28.9,37.7,226876
Glendale,AZ,39.9,34.2,52.9,226721
Reno,NV,37.6,27.7,46.6,225221
Hialeah,FL,69.4,38.8,51.2,224669
Paradise,NV,48.8,38.3,48.9,223167
Chesapeake,VA,22.1,13,34.6,222209
Scottsdale,AZ,32.4,25.6,52.1,217385
North Las Vegas,NV,33.2,31.4,41.9,216961
Irving,TX,43.3,31.3,39,216290
Fremont,CA,44.2,37.3,48.6,214089
Irvine,CA,43.5,27.2,65.9,212375
Birmingham,AL,35.4,25.3,24.5,212237
Rochester,NY,64.6,43.2,52.7,210565
San Bernardino,CA,42,37.5,39.5,209924
Spokane,WA,48,35.8,48.2,208916
Gilbert,AZ,29,15.1,50.9,208453
Arlington,VA,68.9,58.8,69.1,207627
Montgomery,AL,26.9,16.4,32,205764
Boise City,ID,40.2,22.6,61.1,205671
Richmond,VA,51.4,,50.5,204214
Des Moines,IA,45,29.3,38.1,203433
Fayetteville,NC,20.9,,29.4,200564
